Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
9608.21	9608210	9609.68	9609680	1.47	1470															
9624.82	9624820	9625.9	9625900	1.08	1080															
9629.26	9629260	9630.28	9630280	1.02	1020															
9680.27	9680270	9681.07	9681070	0.8	800															
9709.78	9709780	9710.87	9710870	1.09	1090															
9758.9	9758900	9759.73	9759730	0.83	830															
9760.55	9760550	9761.35	9761350	0.8	800															
9762.3	9762300	9764.12	9764120	1.82	1820															
9766.89	9766890	9767.69	9767690	0.8	800															
9782.05	9782050	9783.09	9783090	1.04	1040															
9784.84	9784840	9785.84	9785840	1.0	1000															
9793.93	9793930	9794.73	9794730	0.8	800															
9797.59	9797590	9798.67	9798670	1.08	1080															
9800.51	9800510	9803.76	9803760	3.25	3250															
9814.17	9814170	9814.97	9814970	0.8	800															
9897.52	9897520	9898.32	9898320	0.8	800															
10000.2	10000200	10000.8	10000800	0.6	600															
10036.09	10036090	10036.89	10036890	0.8	800															
10037.69	10037690	10038.49	10038490	0.8	800															
10038.49	10038490	10039.1	10039100	0.61	610															
10345.03	10345030	10346.06	10346060	1.03	1030															
10346.69	10346690	10347.71	10347710	1.02	1020															
10365.06	10365060	10366.07	10366070	1.01	1010															
10553.41	10553410	10554.22	10554220	0.81	810															
10566.63	10566630	10567.66	10567660	1.03	1030															
10570.38	10570380	10571.21	10571210	0.83	830															
10577.18	10577180	10578.18	10578180	1.0	1000															
10581.23	10581230	10582.03	10582030	0.8	800															
10582.03	10582030	10583.04	10583040	1.01	1010															
10583.04	10583040	10583.9	10583900	0.86	860															
10589.25	10589250	10590.05	10590050	0.8	800															
10591.05	10591050	10591.85	10591850	0.8	800															
10595.39	10595390	10597.53	10597530	2.14	2140															
10605.26	10605260	10606.27	10606270	1.01	1010															
10678.81	10678810	10679.65	10679650	0.84	840															
10704.28	10704280	10705.08	10705080	0.8	800															
10822.23	10822230	10823.41	10823410	1.18	1180															
10831.0	10831000	10831.6	10831600	0.6	600															
10860.5	10860500	10861.31	10861310	0.81	810															
12303.98	12303980	12304.73	12304730	0.75	750															
12354.87	12354870	12355.89	12355890	1.02	1020															
12408.53	12408530	12409.34	12409340	0.81	810															
12414.8	12414800	12415.61	12415610	0.81	810															
13282.59	13282590	13283.43	13283430	0.84	840															
13322.49	13322490	13323.29	13323290	0.8	800															
15244.36	15244360	15245.52	15245520	1.16	1160															
15499.84	15499840	15500.84	15500840	1.0	1000															
15613.74	15613740	15616.0	15616000	2.26	2260															
