Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*FAF	*TVN	*MAF	*CHF	*NON	*FAN	*OLN	
11295.17	11295170	11296.05	11296050	0.88	880															
11343.83	11343830	11344.65	11344650	0.82	820															
11350.17	11350170	11350.97	11350970	0.8	800															
11351.65	11351650	11352.48	11352480	0.83	830															
11373.85	11373850	11375.02	11375020	1.17	1170															
11380.76	11380760	11381.36	11381360	0.6	600															
11465.43	11465430	11466.04	11466040	0.61	610															
11466.04	11466040	11467.76	11467760	1.72	1720															
11472.79	11472790	11473.59	11473590	0.8	800															
11478.84	11478840	11479.64	11479640	0.8	800															
11508.31	11508310	11511.44	11511440	3.13	3130															
11512.24	11512240	11513.04	11513040	0.8	800															
11517.42	11517420	11518.35	11518350	0.93	930															
11521.5	11521500	11522.33	11522330	0.83	830															
11527.04	11527040	11527.84	11527840	0.8	800															
11529.46	11529460	11530.65	11530650	1.19	1190															
11534.01	11534010	11537.49	11537490	3.48	3480															
11555.84	11555840	11557.18	11557180	1.34	1340															
11560.73	11560730	11561.53	11561530	0.8	800															
11564.1	11564100	11564.71	11564710	0.61	610															
11566.89	11566890	11567.72	11567720	0.83	830															
11568.35	11568350	11570.83	11570830	2.48	2480															
11576.3	11576300	11577.3	11577300	1.0	1000															
11580.47	11580470	11581.27	11581270	0.8	800															
11603.38	11603380	11604.27	11604270	0.89	890															
11625.37	11625370	11626.77	11626770	1.4	1400															
11660.03	11660030	11660.85	11660850	0.82	820															
11705.6	11705600	11706.48	11706480	0.88	880															
11712.97	11712970	11713.78	11713780	0.81	810															
11730.28	11730280	11732.23	11732230	1.95	1950															
11762.07	11762070	11763.13	11763130	1.06	1060															
11857.61	11857610	11858.41	11858410	0.8	800															
11886.77	11886770	11887.57	11887570	0.8	800															
11890.76	11890760	11892.06	11892060	1.3	1300															
11899.53	11899530	11900.33	11900330	0.8	800															
11901.13	11901130	11903.06	11903060	1.93	1930															
