,Category,Begin Time,End Time,&=crying duration,&=crying density,&=crying max duration,&=crying mean duration
99,no,12:13:36.300,12:13:48.320,2.1,0.17,1.8,1.0
100,no,12:16:08.820,12:16:40.240,0.7,0.02,0.7,0.7
101,,12:18:30.940,12:22:47.150,44.1,0.17,6.9,1.2
102,,12:24:30.140,12:28:43.200,17.0,0.07,2.3,0.8
103,,12:31:13.200,12:31:41.530,3.4,0.12,1.7,0.8
104,,12:32:42.200,12:33:42.540,5.3,0.09,1.9,1.3
105,,12:40:57.450,12:42:39.210,4.3,0.04,1.0,0.6
106,,12:47:33.770,12:54:17.450,219.4,0.54,19.0,3.0
107,,12:58:23.860,12:58:35.380,0.4,0.03,0.4,0.4
108,,13:02:49.760,13:03:08.600,0.5,0.03,0.5,0.5
109,,13:16:38.370,13:17:27.500,0.6,0.01,0.4,0.3
110,,13:22:23.880,13:23:25.380,3.5,0.06,1.9,0.8
111,,13:29:43.850,13:30:19.050,1.9,0.05,0.8,0.6
