Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
4843.97	4843970	4846.39	4846390	2.42	2420															
4847.53	4847530	4848.95	4848950	1.42	1420															
4848.95	4848950	4849.95	4849950	1.0	1000															
4849.95	4849950	4852.78	4852780	2.83	2830															
4853.89	4853890	4859.1	4859100	5.21	5210															
4861.2	4861200	4862.0	4862000	0.8	800															
4863.02	4863020	4865.96	4865960	2.94	2940															
4867.01	4867010	4869.19	4869190	2.18	2180															
4870.54	4870540	4872.01	4872010	1.47	1470															
4877.51	4877510	4879.44	4879440	1.93	1930															
4888.13	4888130	4890.52	4890520	2.39	2390															
4892.8	4892800	4893.61	4893610	0.81	810															
4894.65	4894650	4897.35	4897350	2.7	2700															
4899.37	4899370	4900.43	4900430	1.06	1060															
4901.23	4901230	4902.72	4902720	1.49	1490															
4905.15	4905150	4906.15	4906150	1.0	1000															
4921.18	4921180	4922.25	4922250	1.07	1070															
5007.36	5007360	5008.2	5008200	0.84	840															
5118.23	5118230	5119.06	5119060	0.83	830															
5121.3	5121300	5122.16	5122160	0.86	860															
5185.92	5185920	5186.9	5186900	0.98	980															
5187.7	5187700	5189.27	5189270	1.57	1570															
5189.27	5189270	5190.28	5190280	1.01	1010															
5190.28	5190280	5191.35	5191350	1.07	1070															
5193.62	5193620	5194.62	5194620	1.0	1000															
5738.8	5738800	5739.63	5739630	0.83	830															
5805.8	5805800	5808.3	5808300	2.5	2500															
5833.88	5833880	5836.29	5836290	2.41	2410															
5838.86	5838860	5841.83	5841830	2.97	2970															
5842.63	5842630	5848.36	5848360	5.73	5730															
6185.73	6185730	6186.53	6186530	0.8	800															
6188.57	6188570	6189.82	6189820	1.25	1250															
6317.8	6317800	6318.61	6318610	0.81	810															
6539.58	6539580	6541.01	6541010	1.43	1430															
6558.57	6558570	6559.37	6559370	0.8	800															
6579.45	6579450	6580.82	6580820	1.37	1370															
6580.82	6580820	6582.16	6582160	1.34	1340															
6582.16	6582160	6583.39	6583390	1.23	1230															
6602.64	6602640	6603.66	6603660	1.02	1020															
6637.25	6637250	6638.2	6638200	0.95	950															
6642.15	6642150	6643.44	6643440	1.29	1290															
6818.71	6818710	6819.71	6819710	1.0	1000															
6850.81	6850810	6851.61	6851610	0.8	800															
6871.19	6871190	6871.99	6871990	0.8	800															
7069.59	7069590	7070.4	7070400	0.81	810															
7085.38	7085380	7086.83	7086830	1.45	1450															
7087.63	7087630	7088.94	7088940	1.31	1310															
7116.31	7116310	7117.96	7117960	1.65	1650															
7248.89	7248890	7249.72	7249720	0.83	830															
7259.6	7259600	7260.42	7260420	0.82	820															
7264.65	7264650	7265.45	7265450	0.8	800															
7266.33	7266330	7267.81	7267810	1.48	1480															
7268.89	7268890	7271.48	7271480	2.59	2590															
7314.88	7314880	7315.71	7315710	0.83	830															
7333.76	7333760	7334.76	7334760	1.0	1000															
7335.36	7335360	7336.16	7336160	0.8	800															
7338.64	7338640	7339.44	7339440	0.8	800															
7351.58	7351580	7352.4	7352400	0.82	820															
7418.76	7418760	7419.56	7419560	0.8	800															
7486.23	7486230	7487.73	7487730	1.5	1500															
7538.48	7538480	7539.28	7539280	0.8	800															
7611.38	7611380	7612.22	7612220	0.84	840															
8204.64	8204640	8205.47	8205470	0.83	830															
8302.97	8302970	8304.19	8304190	1.22	1220															
8325.89	8325890	8326.65	8326650	0.76	760															
8568.13	8568130	8569.05	8569050	0.92	920															
8634.3	8634300	8635.35	8635350	1.05	1050															
8758.16	8758160	8759.66	8759660	1.5	1500															
8884.72	8884720	8885.62	8885620	0.9	900															
8914.91	8914910	8915.71	8915710	0.8	800															
8923.77	8923770	8924.37	8924370	0.6	600															
8931.27	8931270	8932.27	8932270	1.0	1000															
9155.81	9155810	9156.82	9156820	1.01	1010															
9159.31	9159310	9160.27	9160270	0.96	960															
9162.92	9162920	9163.81	9163810	0.89	890															
9175.25	9175250	9175.96	9175960	0.71	710															
9194.29	9194290	9195.62	9195620	1.33	1330															
9649.72	9649720	9650.32	9650320	0.6	600															
9731.25	9731250	9731.85	9731850	0.6	600															
9840.77	9840770	9842.19	9842190	1.42	1420															
9842.19	9842190	9842.79	9842790	0.6	600															
9842.79	9842790	9845.51	9845510	2.72	2720															
9912.18	9912180	9913.04	9913040	0.86	860															
10036.73	10036730	10037.93	10037930	1.2	1200															
10056.75	10056750	10057.83	10057830	1.08	1080															
10064.14	10064140	10064.95	10064950	0.81	810															
10068.4	10068400	10069.2	10069200	0.8	800															
10076.46	10076460	10077.58	10077580	1.12	1120															
10119.32	10119320	10121.4	10121400	2.08	2080															
10123.2	10123200	10124.0	10124000	0.8	800															
10125.6	10125600	10126.23	10126230	0.63	630															
10127.25	10127250	10128.24	10128240	0.99	990															
10128.24	10128240	10128.85	10128850	0.61	610															
10128.85	10128850	10129.76	10129760	0.91	910															
10130.62	10130620	10131.48	10131480	0.86	860															
10132.08	10132080	10133.31	10133310	1.23	1230															
10134.31	10134310	10137.6	10137600	3.29	3290															
10139.3	10139300	10141.83	10141830	2.53	2530															
10142.96	10142960	10144.13	10144130	1.17	1170															
10147.36	10147360	10148.21	10148210	0.85	850															
10149.01	10149010	10150.33	10150330	1.32	1320															
11069.98	11069980	11070.99	11070990	1.01	1010															
11132.78	11132780	11133.38	11133380	0.6	600															
11144.15	11144150	11145.39	11145390	1.24	1240															
13692.96	13692960	13694.03	13694030	1.07	1070															
13844.8	13844800	13845.4	13845400	0.6	600															
13885.27	13885270	13886.53	13886530	1.26	1260															
14043.33	14043330	14043.93	14043930	0.6	600															
14089.01	14089010	14089.61	14089610	0.6	600															
14208.88	14208880	14209.48	14209480	0.6	600															
14255.54	14255540	14256.79	14256790	1.25	1250															
14327.27	14327270	14327.87	14327870	0.6	600															
14419.98	14419980	14420.78	14420780	0.8	800															
14462.44	14462440	14463.49	14463490	1.05	1050															
14639.38	14639380	14640.5	14640500	1.12	1120															
14641.26	14641260	14642.17	14642170	0.91	910															
14822.81	14822810	14823.92	14823920	1.11	1110															
14947.76	14947760	14948.59	14948590	0.83	830															
14994.43	14994430	14995.25	14995250	0.82	820															
15044.26	15044260	15045.14	15045140	0.88	880															
15186.12	15186120	15186.93	15186930	0.81	810															
15205.44	15205440	15207.16	15207160	1.72	1720															
15225.76	15225760	15226.36	15226360	0.6	600															
15239.89	15239890	15240.51	15240510	0.62	620															
15252.28	15252280	15253.74	15253740	1.46	1460															
15253.74	15253740	15254.37	15254370	0.63	630															
15401.95	15401950	15403.31	15403310	1.36	1360															
15405.93	15405930	15406.74	15406740	0.81	810															
15409.15	15409150	15410.34	15410340	1.19	1190															
15659.02	15659020	15659.82	15659820	0.8	800															
15670.87	15670870	15672.6	15672600	1.73	1730															
17335.08	17335080	17335.91	17335910	0.83	830															
17338.81	17338810	17339.62	17339620	0.81	810															
17359.32	17359320	17360.19	17360190	0.87	870															
17550.24	17550240	17551.3	17551300	1.06	1060															
17557.88	17557880	17558.48	17558480	0.6	600															
17618.26	17618260	17619.1	17619100	0.84	840															
17621.5	17621500	17623.42	17623420	1.92	1920															
17633.31	17633310	17634.11	17634110	0.8	800															
17651.13	17651130	17652.0	17652000	0.87	870															
17661.7	17661700	17662.5	17662500	0.8	800															
17663.1	17663100	17664.68	17664680	1.58	1580															
17827.65	17827650	17828.85	17828850	1.2	1200															
18862.09	18862090	18862.92	18862920	0.83	830															
20049.29	20049290	20050.3	20050300	1.01	1010															
20050.95	20050950	20051.75	20051750	0.8	800															
20108.07	20108070	20108.87	20108870	0.8	800															
20108.87	20108870	20109.7	20109700	0.83	830															
20110.88	20110880	20112.14	20112140	1.26	1260															
20247.86	20247860	20248.46	20248460	0.6	600															
20289.77	20289770	20290.52	20290520	0.75	750															
20405.58	20405580	20406.58	20406580	1.0	1000															
20408.2	20408200	20408.8	20408800	0.6	600															
20424.36	20424360	20425.3	20425300	0.94	940															
20425.9	20425900	20427.34	20427340	1.44	1440															
20431.59	20431590	20432.48	20432480	0.89	890															
20432.48	20432480	20433.17	20433170	0.69	690															
20473.19	20473190	20473.79	20473790	0.6	600															
20715.32	20715320	20716.33	20716330	1.01	1010															
21324.04	21324040	21325.42	21325420	1.38	1380															
21542.71	21542710	21543.45	21543450	0.74	740															
21548.11	21548110	21548.91	21548910	0.8	800															
21713.53	21713530	21714.32	21714320	0.79	790															
21764.3	21764300	21765.48	21765480	1.18	1180															
21809.4	21809400	21810.12	21810120	0.72	720															
21878.05	21878050	21878.65	21878650	0.6	600															
21879.65	21879650	21880.25	21880250	0.6	600															
21927.21	21927210	21927.82	21927820	0.61	610															
21966.94	21966940	21967.54	21967540	0.6	600															
21980.1	21980100	21980.9	21980900	0.8	800															
21980.9	21980900	21981.94	21981940	1.04	1040															
21982.74	21982740	21983.52	21983520	0.78	780															
21989.13	21989130	21990.41	21990410	1.28	1280															
22012.55	22012550	22013.5	22013500	0.95	950															
22016.13	22016130	22017.85	22017850	1.72	1720															
22070.31	22070310	22071.26	22071260	0.95	950															
22164.44	22164440	22165.24	22165240	0.8	800															
22167.82	22167820	22168.42	22168420	0.6	600															
22181.06	22181060	22182.02	22182020	0.96	960															
22189.62	22189620	22190.22	22190220	0.6	600															
22226.28	22226280	22227.08	22227080	0.8	800															
22227.88	22227880	22228.83	22228830	0.95	950															
22230.25	22230250	22231.11	22231110	0.86	860															
22264.08	22264080	22264.68	22264680	0.6	600															
22360.74	22360740	22361.34	22361340	0.6	600															
22394.26	22394260	22395.0	22395000	0.74	740															
22399.11	22399110	22399.71	22399710	0.6	600															
22434.76	22434760	22435.86	22435860	1.1	1100															
22448.29	22448290	22449.09	22449090	0.8	800															
22450.31	22450310	22451.28	22451280	0.97	970															
22454.5	22454500	22455.31	22455310	0.81	810															
22608.01	22608010	22608.61	22608610	0.6	600															
22696.91	22696910	22697.71	22697710	0.8	800															
22806.17	22806170	22806.77	22806770	0.6	600															
22885.34	22885340	22886.34	22886340	1.0	1000															
22901.05	22901050	22901.65	22901650	0.6	600															
22926.88	22926880	22927.64	22927640	0.76	760															
22946.7	22946700	22947.39	22947390	0.69	690															
23033.71	23033710	23034.34	23034340	0.63	630															
23087.56	23087560	23088.28	23088280	0.72	720															
23268.39	23268390	23269.19	23269190	0.8	800															
23269.99	23269990	23270.59	23270590	0.6	600															
23277.91	23277910	23278.75	23278750	0.84	840															
23293.35	23293350	23294.15	23294150	0.8	800															
23319.32	23319320	23320.17	23320170	0.85	850															
23440.92	23440920	23441.67	23441670	0.75	750															
23528.51	23528510	23530.41	23530410	1.9	1900															
23530.41	23530410	23532.97	23532970	2.56	2560															
23535.42	23535420	23536.23	23536230	0.81	810															
23539.5	23539500	23540.1	23540100	0.6	600															
23543.19	23543190	23543.8	23543800	0.61	610															
23543.8	23543800	23544.6	23544600	0.8	800															
23547.24	23547240	23548.08	23548080	0.84	840															
23548.08	23548080	23548.75	23548750	0.67	670															
23548.75	23548750	23549.97	23549970	1.22	1220															
23552.56	23552560	23553.95	23553950	1.39	1390															
23555.02	23555020	23556.57	23556570	1.55	1550															
23557.57	23557570	23560.28	23560280	2.71	2710															
23562.95	23562950	23563.85	23563850	0.9	900															
23567.39	23567390	23569.65	23569650	2.26	2260															
23574.46	23574460	23575.27	23575270	0.81	810															
23580.06	23580060	23583.97	23583970	3.91	3910															
23584.57	23584570	23586.89	23586890	2.32	2320															
23587.69	23587690	23592.32	23592320	4.63	4630															
23638.68	23638680	23639.29	23639290	0.61	610															
23687.33	23687330	23688.63	23688630	1.3	1300															
23693.77	23693770	23694.37	23694370	0.6	600															
24034.51	24034510	24035.94	24035940	1.43	1430															
24035.94	24035940	24037.85	24037850	1.91	1910															
24037.85	24037850	24038.65	24038650	0.8	800															
24038.65	24038650	24039.31	24039310	0.66	660															
24046.16	24046160	24046.98	24046980	0.82	820															
24048.66	24048660	24052.33	24052330	3.67	3670															
24053.15	24053150	24056.72	24056720	3.57	3570															
25286.75	25286750	25287.55	25287550	0.8	800															
25617.71	25617710	25619.08	25619080	1.37	1370															
25619.68	25619680	25620.62	25620620	0.94	940															
25655.33	25655330	25655.93	25655930	0.6	600															
27366.41	27366410	27367.54	27367540	1.13	1130															
27368.15	27368150	27368.95	27368950	0.8	800															
27640.82	27640820	27641.8	27641800	0.98	980															
27672.54	27672540	27673.14	27673140	0.6	600															
27703.21	27703210	27703.81	27703810	0.6	600															
35589.04	35589040	35589.84	35589840	0.8	800															
35682.89	35682890	35683.49	35683490	0.6	600															
40544.4	40544400	40545.0	40545000	0.6	600															
48778.53	48778530	48779.44	48779440	0.91	910															
48788.31	48788310	48789.29	48789290	0.98	980															
49050.31	49050310	49050.91	49050910	0.6	600															
49064.37	49064370	49064.97	49064970	0.6	600															
49144.9	49144900	49145.5	49145500	0.6	600															
52534.27	52534270	52535.86	52535860	1.59	1590															
52579.87	52579870	52580.54	52580540	0.67	670															
52946.95	52946950	52947.75	52947750	0.8	800															
53027.1	53027100	53027.7	53027700	0.6	600															
53034.46	53034460	53035.06	53035060	0.6	600															
53037.98	53037980	53038.58	53038580	0.6	600															
55909.35	55909350	55910.23	55910230	0.88	880															
56256.73	56256730	56257.36	56257360	0.63	630															
56286.78	56286780	56287.58	56287580	0.8	800															
17.48	17480	18.28	18280	0.8	800															
35.79	35790	36.62	36620	0.83	830															
51.02	51020	52.38	52380	1.36	1360															
77.09	77090	78.19	78190	1.1	1100															
