Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*NON	*CHF	*FAN	*OLN	
10319.51	10319510	10320.53	10320530	1.02	1020															
10323.48	10323480	10324.89	10324890	1.41	1410															
10327.16	10327160	10328.38	10328380	1.22	1220															
10336.34	10336340	10337.56	10337560	1.22	1220															
10356.53	10356530	10357.34	10357340	0.81	810															
10369.88	10369880	10370.68	10370680	0.8	800															
10371.48	10371480	10372.38	10372380	0.9	900															
10375.02	10375020	10377.33	10377330	2.31	2310															
10395.6	10395600	10396.85	10396850	1.25	1250															
10398.72	10398720	10400.19	10400190	1.47	1470															
10402.93	10402930	10403.84	10403840	0.91	910															
10408.31	10408310	10409.41	10409410	1.1	1100															
10411.02	10411020	10415.12	10415120	4.1	4100															
10415.97	10415970	10417.25	10417250	1.28	1280															
10418.05	10418050	10419.11	10419110	1.06	1060															
10420.95	10420950	10422.85	10422850	1.9	1900															
10423.78	10423780	10427.2	10427200	3.42	3420															
10428.91	10428910	10429.83	10429830	0.92	920															
10434.86	10434860	10435.46	10435460	0.6	600															
10436.26	10436260	10437.69	10437690	1.43	1430															
10438.49	10438490	10439.17	10439170	0.68	680															
10439.17	10439170	10440.7	10440700	1.53	1530															
10441.33	10441330	10442.64	10442640	1.31	1310															
10463.06	10463060	10464.03	10464030	0.97	970															
10466.98	10466980	10467.81	10467810	0.83	830															
10468.61	10468610	10469.47	10469470	0.86	860															
10587.21	10587210	10589.73	10589730	2.52	2520															
10597.16	10597160	10597.98	10597980	0.82	820															
10600.66	10600660	10601.26	10601260	0.6	600															
11411.31	11411310	11412.11	11412110	0.8	800															
11416.27	11416270	11417.28	11417280	1.01	1010															
11941.14	11941140	11942.17	11942170	1.03	1030															
12032.44	12032440	12033.45	12033450	1.01	1010															
12074.78	12074780	12075.58	12075580	0.8	800															
12084.9	12084900	12085.72	12085720	0.82	820															
12089.62	12089620	12090.42	12090420	0.8	800															
12093.43	12093430	12094.43	12094430	1.0	1000															
12098.25	12098250	12099.11	12099110	0.86	860															
12101.21	12101210	12102.06	12102060	0.85	850															
12104.56	12104560	12105.82	12105820	1.26	1260															
12108.65	12108650	12109.63	12109630	0.98	980															
12113.33	12113330	12115.08	12115080	1.75	1750															
12115.08	12115080	12115.77	12115770	0.69	690															
12115.77	12115770	12116.57	12116570	0.8	800															
12559.35	12559350	12560.15	12560150	0.8	800															
12690.92	12690920	12692.37	12692370	1.45	1450															
12872.7	12872700	12873.63	12873630	0.93	930															
12925.7	12925700	12926.5	12926500	0.8	800															
12929.71	12929710	12930.84	12930840	1.13	1130															
12953.4	12953400	12954.42	12954420	1.02	1020															
13009.7	13009700	13011.19	13011190	1.49	1490															
13023.91	13023910	13024.95	13024950	1.04	1040															
13024.95	13024950	13026.16	13026160	1.21	1210															
13027.83	13027830	13028.64	13028640	0.81	810															
13034.38	13034380	13035.38	13035380	1.0	1000															
13065.64	13065640	13066.45	13066450	0.81	810															
13070.13	13070130	13071.98	13071980	1.85	1850															
13076.59	13076590	13078.41	13078410	1.82	1820															
13089.6	13089600	13091.0	13091000	1.4	1400															
13092.08	13092080	13093.71	13093710	1.63	1630															
13096.45	13096450	13099.6	13099600	3.15	3150															
13109.87	13109870	13110.67	13110670	0.8	800															
13123.5	13123500	13124.35	13124350	0.85	850															
13149.18	13149180	13149.79	13149790	0.61	610															
13155.28	13155280	13156.08	13156080	0.8	800															
13156.95	13156950	13157.75	13157750	0.8	800															
13267.74	13267740	13268.69	13268690	0.95	950															
13268.69	13268690	13270.39	13270390	1.7	1700															
13282.07	13282070	13282.67	13282670	0.6	600															
13299.95	13299950	13300.75	13300750	0.8	800															
13320.15	13320150	13321.78	13321780	1.63	1630															
13325.23	13325230	13326.48	13326480	1.25	1250															
13333.8	13333800	13334.6	13334600	0.8	800															
13340.76	13340760	13341.56	13341560	0.8	800															
13353.29	13353290	13356.73	13356730	3.44	3440															
13359.18	13359180	13360.76	13360760	1.58	1580															
13363.36	13363360	13364.25	13364250	0.89	890															
13364.25	13364250	13365.92	13365920	1.67	1670															
13366.72	13366720	13367.72	13367720	1.0	1000															
13370.8	13370800	13371.61	13371610	0.81	810															
13372.63	13372630	13373.67	13373670	1.04	1040															
13374.69	13374690	13375.88	13375880	1.19	1190															
13382.71	13382710	13383.62	13383620	0.91	910															
13384.42	13384420	13387.48	13387480	3.06	3060															
13389.35	13389350	13390.61	13390610	1.26	1260															
13401.39	13401390	13402.82	13402820	1.43	1430															
13403.82	13403820	13408.22	13408220	4.4	4400															
13410.52	13410520	13411.66	13411660	1.14	1140															
13411.66	13411660	13412.38	13412380	0.72	720															
13412.38	13412380	13415.35	13415350	2.97	2970															
13417.28	13417280	13417.99	13417990	0.71	710															
13423.0	13423000	13424.73	13424730	1.73	1730															
13426.3	13426300	13427.1	13427100	0.8	800															
13428.7	13428700	13429.96	13429960	1.26	1260															
14351.24	14351240	14352.04	14352040	0.8	800															
14432.96	14432960	14433.87	14433870	0.91	910															
14606.49	14606490	14607.11	14607110	0.62	620															
14876.86	14876860	14878.43	14878430	1.57	1570															
14998.78	14998780	15000.14	15000140	1.36	1360															
15047.61	15047610	15048.79	15048790	1.18	1180															
15080.14	15080140	15081.06	15081060	0.92	920															
15230.62	15230620	15231.62	15231620	1.0	1000															
15233.5	15233500	15234.54	15234540	1.04	1040															
15368.76	15368760	15370.08	15370080	1.32	1320															
16720.05	16720050	16721.66	16721660	1.61	1610															
16733.75	16733750	16734.55	16734550	0.8	800															
17212.34	17212340	17213.14	17213140	0.8	800															
17313.48	17313480	17314.28	17314280	0.8	800															
17396.69	17396690	17397.74	17397740	1.05	1050															
17405.87	17405870	17406.69	17406690	0.82	820															
17408.14	17408140	17409.65	17409650	1.51	1510															
17410.63	17410630	17411.81	17411810	1.18	1180															
17414.0	17414000	17415.09	17415090	1.09	1090															
17420.64	17420640	17421.45	17421450	0.81	810															
17422.26	17422260	17423.29	17423290	1.03	1030															
17531.49	17531490	17532.39	17532390	0.9	900															
17556.44	17556440	17557.44	17557440	1.0	1000															
17620.48	17620480	17621.08	17621080	0.6	600															
18319.19	18319190	18319.99	18319990	0.8	800															
19480.27	19480270	19481.07	19481070	0.8	800															
19485.02	19485020	19485.82	19485820	0.8	800															
20240.96	20240960	20241.96	20241960	1.0	1000															
22442.32	22442320	22443.12	22443120	0.8	800															
22483.83	22483830	22484.63	22484630	0.8	800															
22522.36	22522360	22523.16	22523160	0.8	800															
22679.13	22679130	22681.68	22681680	2.55	2550															
22743.56	22743560	22745.24	22745240	1.68	1680															
22759.23	22759230	22760.03	22760030	0.8	800															
22792.06	22792060	22793.09	22793090	1.03	1030															
22803.73	22803730	22805.39	22805390	1.66	1660															
23014.79	23014790	23015.59	23015590	0.8	800															
23223.19	23223190	23223.99	23223990	0.8	800															
23267.07	23267070	23268.39	23268390	1.32	1320															
23307.66	23307660	23308.48	23308480	0.82	820															
23319.01	23319010	23319.65	23319650	0.64	640															
23373.93	23373930	23374.54	23374540	0.61	610															
23463.75	23463750	23464.58	23464580	0.83	830															
23466.18	23466180	23467.08	23467080	0.9	900															
23594.6	23594600	23595.52	23595520	0.92	920															
23610.34	23610340	23611.16	23611160	0.82	820															
23615.1	23615100	23615.9	23615900	0.8	800															
23632.36	23632360	23633.46	23633460	1.1	1100															
23647.26	23647260	23648.26	23648260	1.0	1000															
23648.86	23648860	23650.34	23650340	1.48	1480															
23669.15	23669150	23670.33	23670330	1.18	1180															
23732.45	23732450	23733.86	23733860	1.41	1410															
23740.97	23740970	23741.77	23741770	0.8	800															
23748.72	23748720	23749.66	23749660	0.94	940															
23749.66	23749660	23751.06	23751060	1.4	1400															
23764.31	23764310	23765.33	23765330	1.02	1020															
23801.62	23801620	23803.08	23803080	1.46	1460															
23816.56	23816560	23817.43	23817430	0.87	870															
23827.73	23827730	23828.73	23828730	1.0	1000															
23858.93	23858930	23859.81	23859810	0.88	880															
23862.23	23862230	23863.27	23863270	1.04	1040															
24089.55	24089550	24090.55	24090550	1.0	1000															
24146.43	24146430	24147.53	24147530	1.1	1100															
24180.77	24180770	24181.57	24181570	0.8	800															
24181.57	24181570	24182.58	24182580	1.01	1010															
24185.02	24185020	24185.82	24185820	0.8	800															
24197.07	24197070	24197.87	24197870	0.8	800															
24211.0	24211000	24215.28	24215280	4.28	4280															
24219.06	24219060	24220.02	24220020	0.96	960															
24248.87	24248870	24250.11	24250110	1.24	1240															
24356.58	24356580	24357.41	24357410	0.83	830															
24370.71	24370710	24371.51	24371510	0.8	800															
24381.08	24381080	24382.82	24382820	1.74	1740															
24388.84	24388840	24389.68	24389680	0.84	840															
24460.97	24460970	24461.77	24461770	0.8	800															
24462.57	24462570	24463.73	24463730	1.16	1160															
24571.53	24571530	24573.28	24573280	1.75	1750															
24580.19	24580190	24581.47	24581470	1.28	1280															
24625.96	24625960	24626.76	24626760	0.8	800															
24740.15	24740150	24741.08	24741080	0.93	930															
24759.55	24759550	24760.35	24760350	0.8	800															
24867.08	24867080	24868.09	24868090	1.01	1010															
24948.34	24948340	24949.3	24949300	0.96	960															
24961.72	24961720	24962.54	24962540	0.82	820															
25009.54	25009540	25010.37	25010370	0.83	830															
25052.98	25052980	25053.8	25053800	0.82	820															
25062.99	25062990	25064.25	25064250	1.26	1260															
25081.25	25081250	25082.05	25082050	0.8	800															
25084.07	25084070	25085.01	25085010	0.94	940															
25089.89	25089890	25090.69	25090690	0.8	800															
25174.39	25174390	25175.19	25175190	0.8	800															
25195.49	25195490	25196.09	25196090	0.6	600															
25214.73	25214730	25215.64	25215640	0.91	910															
25217.13	25217130	25217.96	25217960	0.83	830															
25226.59	25226590	25227.21	25227210	0.62	620															
25269.16	25269160	25269.96	25269960	0.8	800															
25278.22	25278220	25279.07	25279070	0.85	850															
25283.43	25283430	25284.99	25284990	1.56	1560															
25372.51	25372510	25373.64	25373640	1.13	1130															
25457.37	25457370	25458.43	25458430	1.06	1060															
25620.96	25620960	25621.64	25621640	0.68	680															
25629.27	25629270	25630.07	25630070	0.8	800															
25666.1	25666100	25666.94	25666940	0.84	840															
25668.14	25668140	25669.06	25669060	0.92	920															
25674.39	25674390	25675.0	25675000	0.61	610															
25681.28	25681280	25682.1	25682100	0.82	820															
25689.86	25689860	25690.64	25690640	0.78	780															
25690.64	25690640	25691.44	25691440	0.8	800															
25693.21	25693210	25694.15	25694150	0.94	940															
25788.54	25788540	25789.34	25789340	0.8	800															
25790.14	25790140	25790.96	25790960	0.82	820															
25815.74	25815740	25816.58	25816580	0.84	840															
25854.99	25854990	25855.79	25855790	0.8	800															
25855.79	25855790	25857.08	25857080	1.29	1290															
25857.08	25857080	25858.87	25858870	1.79	1790															
25858.87	25858870	25860.41	25860410	1.54	1540															
25861.63	25861630	25862.68	25862680	1.05	1050															
25863.31	25863310	25864.48	25864480	1.17	1170															
25876.04	25876040	25876.64	25876640	0.6	600															
25920.53	25920530	25922.09	25922090	1.56	1560															
25923.46	25923460	25924.65	25924650	1.19	1190															
25963.23	25963230	25964.03	25964030	0.8	800															
26002.96	26002960	26004.0	26004000	1.04	1040															
26063.95	26063950	26064.75	26064750	0.8	800															
26091.41	26091410	26092.36	26092360	0.95	950															
26103.75	26103750	26104.55	26104550	0.8	800															
26113.53	26113530	26114.52	26114520	0.99	990															
26116.75	26116750	26117.5	26117500	0.75	750															
26117.5	26117500	26118.7	26118700	1.2	1200															
26119.5	26119500	26120.45	26120450	0.95	950															
26123.2	26123200	26126.13	26126130	2.93	2930															
26126.13	26126130	26127.34	26127340	1.21	1210															
26147.86	26147860	26148.66	26148660	0.8	800															
26163.57	26163570	26164.53	26164530	0.96	960															
26165.64	26165640	26167.44	26167440	1.8	1800															
26168.45	26168450	26169.25	26169250	0.8	800															
26170.54	26170540	26171.34	26171340	0.8	800															
26172.34	26172340	26173.14	26173140	0.8	800															
26190.02	26190020	26191.06	26191060	1.04	1040															
26193.77	26193770	26195.39	26195390	1.62	1620															
26195.39	26195390	26196.71	26196710	1.32	1320															
26203.73	26203730	26205.19	26205190	1.46	1460															
26205.19	26205190	26205.99	26205990	0.8	800															
26211.74	26211740	26212.69	26212690	0.95	950															
26213.75	26213750	26214.55	26214550	0.8	800															
26215.15	26215150	26216.23	26216230	1.08	1080															
26219.93	26219930	26221.38	26221380	1.45	1450															
26224.8	26224800	26225.77	26225770	0.97	970															
26227.31	26227310	26228.31	26228310	1.0	1000															
26232.85	26232850	26233.65	26233650	0.8	800															
26236.37	26236370	26237.76	26237760	1.39	1390															
26239.48	26239480	26240.99	26240990	1.51	1510															
26242.13	26242130	26243.25	26243250	1.12	1120															
26245.89	26245890	26246.89	26246890	1.0	1000															
26249.95	26249950	26250.75	26250750	0.8	800															
26251.59	26251590	26252.75	26252750	1.16	1160															
26254.56	26254560	26256.02	26256020	1.46	1460															
26257.72	26257720	26258.55	26258550	0.83	830															
26259.35	26259350	26260.0	26260000	0.65	650															
26261.78	26261780	26262.75	26262750	0.97	970															
26265.0	26265000	26265.8	26265800	0.8	800															
26268.21	26268210	26270.49	26270490	2.28	2280															
