Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
10635.13	10635130	10636.34	10636340	1.21	1210															
10728.08	10728080	10729.21	10729210	1.13	1130															
10884.47	10884470	10885.28	10885280	0.81	810															
10928.03	10928030	10929.03	10929030	1.0	1000															
11014.45	11014450	11015.25	11015250	0.8	800															
11088.32	11088320	11089.35	11089350	1.03	1030															
11109.11	11109110	11109.92	11109920	0.81	810															
11110.79	11110790	11111.61	11111610	0.82	820															
11115.32	11115320	11116.2	11116200	0.88	880															
11118.54	11118540	11119.34	11119340	0.8	800															
11358.6	11358600	11359.4	11359400	0.8	800															
11438.6	11438600	11439.4	11439400	0.8	800															
11495.24	11495240	11495.89	11495890	0.65	650															
11527.86	11527860	11528.66	11528660	0.8	800															
11532.67	11532670	11533.47	11533470	0.8	800															
11543.76	11543760	11544.56	11544560	0.8	800															
11565.54	11565540	11566.34	11566340	0.8	800															
11598.93	11598930	11599.79	11599790	0.86	860															
11607.49	11607490	11608.09	11608090	0.6	600															
11708.22	11708220	11709.14	11709140	0.92	920															
11765.04	11765040	11765.85	11765850	0.81	810															
11773.82	11773820	11774.67	11774670	0.85	850															
11774.67	11774670	11775.29	11775290	0.62	620															
11806.31	11806310	11807.12	11807120	0.81	810															
11827.13	11827130	11827.95	11827950	0.82	820															
11849.31	11849310	11850.11	11850110	0.8	800															
11908.96	11908960	11909.82	11909820	0.86	860															
11912.19	11912190	11913.04	11913040	0.85	850															
12003.76	12003760	12004.36	12004360	0.6	600															
12009.5	12009500	12010.3	12010300	0.8	800															
12061.5	12061500	12062.1	12062100	0.6	600															
12354.25	12354250	12355.05	12355050	0.8	800															
12427.11	12427110	12428.07	12428070	0.96	960															
13181.32	13181320	13183.38	13183380	2.06	2060															
13276.6	13276600	13277.65	13277650	1.05	1050															
13359.31	13359310	13360.11	13360110	0.8	800															
13384.75	13384750	13386.18	13386180	1.43	1430															
13471.86	13471860	13472.46	13472460	0.6	600															
13502.98	13502980	13503.58	13503580	0.6	600															
13956.28	13956280	13957.09	13957090	0.81	810															
14018.36	14018360	14019.17	14019170	0.81	810															
14117.9	14117900	14118.5	14118500	0.6	600															
14136.06	14136060	14136.9	14136900	0.84	840															
14152.87	14152870	14153.67	14153670	0.8	800															
14154.47	14154470	14155.5	14155500	1.03	1030															
14156.34	14156340	14157.42	14157420	1.08	1080															
14167.2	14167200	14168.09	14168090	0.89	890															
14173.14	14173140	14174.17	14174170	1.03	1030															
14180.33	14180330	14181.53	14181530	1.2	1200															
14191.54	14191540	14192.8	14192800	1.26	1260															
14193.43	14193430	14194.43	14194430	1.0	1000															
14201.36	14201360	14202.57	14202570	1.21	1210															
14203.37	14203370	14204.21	14204210	0.84	840															
14204.81	14204810	14205.88	14205880	1.07	1070															
14209.23	14209230	14210.34	14210340	1.11	1110															
14214.04	14214040	14214.84	14214840	0.8	800															
14222.98	14222980	14224.33	14224330	1.35	1350															
14227.52	14227520	14228.9	14228900	1.38	1380															
14228.9	14228900	14229.53	14229530	0.63	630															
14229.53	14229530	14230.73	14230730	1.2	1200															
14231.9	14231900	14233.24	14233240	1.34	1340															
14242.46	14242460	14244.41	14244410	1.95	1950															
14248.22	14248220	14250.26	14250260	2.04	2040															
14261.09	14261090	14261.77	14261770	0.68	680															
14269.24	14269240	14270.06	14270060	0.82	820															
14270.87	14270870	14271.94	14271940	1.07	1070															
14276.05	14276050	14276.85	14276850	0.8	800															
14277.55	14277550	14278.47	14278470	0.92	920															
14283.15	14283150	14283.78	14283780	0.63	630															
14283.78	14283780	14284.72	14284720	0.94	940															
14285.39	14285390	14286.19	14286190	0.8	800															
14286.19	14286190	14286.79	14286790	0.6	600															
14286.79	14286790	14287.96	14287960	1.17	1170															
14289.32	14289320	14290.53	14290530	1.21	1210															
14291.13	14291130	14293.11	14293110	1.98	1980															
14294.11	14294110	14295.52	14295520	1.41	1410															
14298.41	14298410	14299.3	14299300	0.89	890															
14307.14	14307140	14308.35	14308350	1.21	1210															
14313.28	14313280	14314.2	14314200	0.92	920															
14315.28	14315280	14316.49	14316490	1.21	1210															
14339.7	14339700	14340.61	14340610	0.91	910															
14343.82	14343820	14346.82	14346820	3.0	3000															
14347.64	14347640	14348.99	14348990	1.35	1350															
14351.06	14351060	14351.81	14351810	0.75	750															
14352.61	14352610	14353.41	14353410	0.8	800															
14354.36	14354360	14355.7	14355700	1.34	1340															
14367.8	14367800	14369.64	14369640	1.84	1840															
14370.65	14370650	14372.24	14372240	1.59	1590															
14373.5	14373500	14374.65	14374650	1.15	1150															
14374.65	14374650	14375.73	14375730	1.08	1080															
14375.73	14375730	14379.12	14379120	3.39	3390															
14381.49	14381490	14383.54	14383540	2.05	2050															
14388.09	14388090	14390.94	14390940	2.85	2850															
14392.74	14392740	14393.59	14393590	0.85	850															
14395.55	14395550	14397.22	14397220	1.67	1670															
14408.02	14408020	14408.82	14408820	0.8	800															
14411.0	14411000	14413.54	14413540	2.54	2540															
14414.39	14414390	14415.2	14415200	0.81	810															
14417.29	14417290	14418.58	14418580	1.29	1290															
14418.58	14418580	14419.86	14419860	1.28	1280															
14421.18	14421180	14422.75	14422750	1.57	1570															
14423.55	14423550	14424.52	14424520	0.97	970															
14425.52	14425520	14429.28	14429280	3.76	3760															
14430.1	14430100	14432.21	14432210	2.11	2110															
14433.09	14433090	14433.9	14433900	0.81	810															
14443.8	14443800	14444.46	14444460	0.66	660															
14447.12	14447120	14448.05	14448050	0.93	930															
14451.32	14451320	14451.92	14451920	0.6	600															
14473.15	14473150	14474.71	14474710	1.56	1560															
14476.56	14476560	14477.38	14477380	0.82	820															
14478.07	14478070	14478.97	14478970	0.9	900															
14480.37	14480370	14483.27	14483270	2.9	2900															
14484.71	14484710	14486.7	14486700	1.99	1990															
14488.44	14488440	14490.84	14490840	2.4	2400															
14498.5	14498500	14501.24	14501240	2.74	2740															
14518.5	14518500	14519.3	14519300	0.8	800															
14519.9	14519900	14520.92	14520920	1.02	1020															
14532.45	14532450	14533.37	14533370	0.92	920															
14533.37	14533370	14536.29	14536290	2.92	2920															
14538.36	14538360	14539.16	14539160	0.8	800															
14539.76	14539760	14540.56	14540560	0.8	800															
14542.19	14542190	14543.57	14543570	1.38	1380															
14543.57	14543570	14544.21	14544210	0.64	640															
14545.19	14545190	14546.1	14546100	0.91	910															
14546.1	14546100	14546.7	14546700	0.6	600															
14546.7	14546700	14547.74	14547740	1.04	1040															
14548.93	14548930	14549.95	14549950	1.02	1020															
14552.75	14552750	14553.5	14553500	0.75	750															
14561.04	14561040	14562.6	14562600	1.56	1560															
