Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
24054.3	24054300	24055.1	24055100	0.8	800															
24078.38	24078380	24079.18	24079180	0.8	800															
24188.59	24188590	24189.45	24189450	0.86	860															
24200.17	24200170	24200.77	24200770	0.6	600															
24201.98	24201980	24203.26	24203260	1.28	1280															
24266.79	24266790	24267.39	24267390	0.6	600															
24527.29	24527290	24527.89	24527890	0.6	600															
24576.3	24576300	24577.1	24577100	0.8	800															
24602.43	24602430	24603.67	24603670	1.24	1240															
24636.76	24636760	24637.56	24637560	0.8	800															
26826.03	26826030	26826.84	26826840	0.81	810															
27905.51	27905510	27906.49	27906490	0.98	980															
27907.64	27907640	27908.44	27908440	0.8	800															
27947.36	27947360	27948.16	27948160	0.8	800															
27949.89	27949890	27950.69	27950690	0.8	800															
27963.52	27963520	27964.41	27964410	0.89	890															
27972.92	27972920	27973.72	27973720	0.8	800															
27976.37	27976370	27977.39	27977390	1.02	1020															
27984.78	27984780	27985.62	27985620	0.84	840															
28121.15	28121150	28121.96	28121960	0.81	810															
28133.22	28133220	28134.02	28134020	0.8	800															
28134.73	28134730	28135.61	28135610	0.88	880															
28170.29	28170290	28171.55	28171550	1.26	1260															
28180.08	28180080	28180.89	28180890	0.81	810															
28192.1	28192100	28192.9	28192900	0.8	800															
28200.6	28200600	28201.27	28201270	0.67	670															
28233.7	28233700	28234.51	28234510	0.81	810															
28291.42	28291420	28292.3	28292300	0.88	880															
28302.99	28302990	28303.91	28303910	0.92	920															
28306.18	28306180	28306.98	28306980	0.8	800															
28311.46	28311460	28312.39	28312390	0.93	930															
28317.88	28317880	28319.61	28319610	1.73	1730															
28321.53	28321530	28322.13	28322130	0.6	600															
28335.31	28335310	28336.12	28336120	0.81	810															
28339.32	28339320	28339.92	28339920	0.6	600															
28339.92	28339920	28341.8	28341800	1.88	1880															
28352.56	28352560	28353.36	28353360	0.8	800															
28356.19	28356190	28356.99	28356990	0.8	800															
28628.47	28628470	28629.07	28629070	0.6	600															
28642.98	28642980	28643.78	28643780	0.8	800															
28702.89	28702890	28703.93	28703930	1.04	1040															
28760.34	28760340	28761.45	28761450	1.11	1110															
28765.39	28765390	28765.99	28765990	0.6	600															
28785.85	28785850	28786.45	28786450	0.6	600															
28958.29	28958290	28959.69	28959690	1.4	1400															
29311.14	29311140	29312.08	29312080	0.94	940															
29344.4	29344400	29345.2	29345200	0.8	800															
29359.72	29359720	29360.52	29360520	0.8	800															
