,Action,Start,End,Duration
166,&=crying ,00:52:54.810,00:52:54.910,00:00:00.100
167,&=crying ,01:21:54.240,01:21:54.840,00:00:00.600
168,&=crying ,01:37:25.690,01:37:26.410,00:00:00.720
169,&=crying ,02:28:07.840,02:28:11.080,00:00:03.240
170,&=crying ,02:28:30.330,02:28:31.720,00:00:01.390
171,&=crying ,02:28:35.590,02:28:37.470,00:00:01.880
172,&=crying ,02:28:38.590,02:28:39.920,00:00:01.330
173,&=crying ,02:28:41.320,02:28:44.500,00:00:03.180
174,&=crying ,02:28:45.650,02:28:45.870,00:00:00.220
175,&=crying ,02:28:46.960,02:28:47.660,00:00:00.700
176,&=crying ,02:28:48.570,02:28:50.610,00:00:02.040
177,&=crying ,02:28:50.610,02:28:51.440,00:00:00.830
178,&=crying ,02:28:51.720,02:28:52.300,00:00:00.580
179,&=crying ,02:29:05.550,02:29:05.770,00:00:00.220
180,&=crying ,02:29:08.430,02:29:09.330,00:00:00.900
181,&=crying ,02:29:13.680,02:29:14.210,00:00:00.530
182,&=crying ,02:29:17.560,02:29:19.110,00:00:01.550
183,&=crying ,02:29:21.590,02:29:22.200,00:00:00.610
184,&=crying ,02:29:24.990,02:29:25.250,00:00:00.260
185,&=crying ,02:29:32.160,02:29:34.570,00:00:02.410
186,&=crying ,02:29:37.140,02:29:37.410,00:00:00.270
187,&=crying ,02:29:38.210,02:29:39.770,00:00:01.560
188,&=crying ,02:29:43.410,02:30:18.160,00:00:34.750
189,&=crying ,02:30:19.150,02:30:33.210,00:00:14.060
190,&=crying ,02:30:34.380,02:30:35.710,00:00:01.330
191,&=crying ,02:30:36.930,02:30:45.530,00:00:08.600
192,&=crying ,02:30:46.350,02:30:48.460,00:00:02.110
193,&=crying ,02:30:49.260,02:30:50.640,00:00:01.380
194,&=crying ,02:31:16.710,02:31:18.590,00:00:01.880
195,&=crying ,02:31:31.620,02:31:32.050,00:00:00.430
196,&=crying ,02:31:41.440,02:31:41.800,00:00:00.360
197,&=crying ,02:31:49.150,02:31:49.800,00:00:00.650
198,&=crying ,02:31:51.600,02:31:52.270,00:00:00.670
199,&=crying ,02:31:59.880,02:32:00.590,00:00:00.710
200,&=crying ,02:32:01.740,02:32:04.010,00:00:02.270
201,&=crying ,02:32:06.290,02:32:08.880,00:00:02.590
202,&=crying ,02:32:17.050,02:32:17.680,00:00:00.630
203,&=crying ,02:32:18.480,02:32:19.440,00:00:00.960
204,&=crying ,02:32:45.020,02:32:46.110,00:00:01.090
205,&=crying ,02:32:46.350,02:32:47.100,00:00:00.750
206,&=crying ,02:32:57.410,02:32:58.400,00:00:00.990
207,&=crying ,02:33:04.660,02:33:05.330,00:00:00.670
208,&=crying ,02:33:30.250,02:33:31.170,00:00:00.920
209,&=crying ,02:33:31.170,02:33:31.970,00:00:00.800
210,&=crying ,02:34:48.290,02:34:48.930,00:00:00.640
211,&=crying ,02:36:14.190,02:36:14.790,00:00:00.600
212,&=crying ,02:36:22.100,02:36:22.940,00:00:00.840
213,&=crying ,02:36:25.650,02:36:26.460,00:00:00.810
214,&=crying ,02:36:41.200,02:36:41.370,00:00:00.170
215,&=crying ,02:38:51.410,02:38:51.900,00:00:00.490
216,&=crying ,02:43:01.610,02:43:01.690,00:00:00.080
217,&=crying ,02:43:12.680,02:43:13.360,00:00:00.680
218,&=crying ,02:43:16.850,02:43:17.450,00:00:00.600
219,&=crying ,02:43:51.960,02:43:53.850,00:00:01.890
220,&=crying ,03:10:22.930,03:10:23.150,00:00:00.220
221,&=crying ,03:14:26.070,03:14:26.670,00:00:00.600
222,&=crying ,03:16:10.040,03:16:10.210,00:00:00.170
223,&=crying ,03:16:17.720,03:16:17.840,00:00:00.120
224,&=crying ,03:17:31.290,03:17:31.440,00:00:00.150
225,&=crying ,03:17:32.380,03:17:33.630,00:00:01.250
226,&=crying ,03:18:01.900,03:18:02.030,00:00:00.130
227,&=crying ,03:18:30.140,03:18:30.270,00:00:00.130
228,&=crying ,03:18:57.810,03:18:58.650,00:00:00.840
229,&=crying ,03:19:05.450,03:19:06.530,00:00:01.080
230,&=crying ,03:21:56.520,03:21:56.710,00:00:00.190
231,&=crying ,03:22:10.600,03:22:11.970,00:00:01.370
232,&=crying ,03:22:14.450,03:22:14.990,00:00:00.540
233,&=crying ,03:22:29.150,03:22:29.750,00:00:00.600
234,&=crying ,03:22:56.650,03:22:57.930,00:00:01.280
235,&=crying ,03:22:58.890,03:23:00.250,00:00:01.360
236,&=crying ,03:23:01.320,03:23:02.590,00:00:01.270
237,&=crying ,03:23:02.590,03:23:03.590,00:00:01.000
238,&=crying ,03:23:03.820,03:23:06.540,00:00:02.720
239,&=crying ,03:23:35.850,03:23:36.720,00:00:00.870
240,&=crying ,03:23:43.160,03:23:43.730,00:00:00.570
241,&=crying ,03:23:44.580,03:23:46.610,00:00:02.030
242,&=crying ,03:24:04.100,03:24:04.360,00:00:00.260
243,&=crying ,03:24:05.870,03:24:06.380,00:00:00.510
244,&=crying ,03:24:07.180,03:24:07.980,00:00:00.800
245,&=crying ,03:24:39.010,03:24:39.810,00:00:00.800
246,&=crying ,03:24:40.740,03:24:43.440,00:00:02.700
247,&=crying ,03:24:44.600,03:24:45.540,00:00:00.940
248,&=crying ,03:24:46.720,03:24:47.070,00:00:00.350
249,&=crying ,03:24:58.190,03:24:59.210,00:00:01.020
250,&=crying ,03:25:05.200,03:25:06.340,00:00:01.140
251,&=crying ,03:25:20.180,03:25:20.870,00:00:00.690
252,&=crying ,03:25:21.090,03:25:22.140,00:00:01.050
